endpoint,argument,class,definition,url
/defs/refs,all,NA,return all references,https://macrostrat.org/api/defs/refs
/defs/drilling_sites,epoch,NA,"string, drilling 'epoch'; only three valid values. DSDP, ODP and IODP",https://macrostrat.org/api/defs/drilling_sites
/defs/drilling_sites,leg,NA,"string, drilling leg (or expedition for IODP)",https://macrostrat.org/api/defs/drilling_sites
/defs/drilling_sites,site,NA,"string, drilling site",https://macrostrat.org/api/defs/drilling_sites
/defs/drilling_sites,col_id,NA,"integer, one or more Macrostrat column ids",https://macrostrat.org/api/defs/drilling_sites
/defs/drilling_sites,col_group_id,NA,"integer, one or more Macrostrat column group ids; corresponds to legs/expeditions",https://macrostrat.org/api/defs/drilling_sites
/defs/drilling_sites,all,NA,return all drilling expeditions and sites,https://macrostrat.org/api/defs/drilling_sites
/defs/drilling_sites,sample,NA,"if present, get a selection of data",https://macrostrat.org/api/defs/drilling_sites
/defs/drilling_sites,sf,NA,"Should the results be returned as an `sf` object (defaults to TRUE)?If `FALSE`, a `data.frame` is returned.",https://macrostrat.org/api/defs/drilling_sites
/carto/small,sample,NA,Get a sample response,https://macrostrat.org/api/carto/small
/carto/small,lat,NA,A valid latitude in decimal degrees,https://macrostrat.org/api/carto/small
/carto/small,lng,NA,A valid longitude in decimal degrees,https://macrostrat.org/api/carto/small
/carto/small,shape,NA,A valid WKT geometry,https://macrostrat.org/api/carto/small
/carto/small,sf,NA,"Should the results be returned as an `sf` object (defaults to TRUE)?If `FALSE`, a `data.frame` is returned.",https://macrostrat.org/api/carto/small
/grids/latitude,lngSpacing,NA,divide bands of latitude by x degrees of longitude,https://macrostrat.org/api/grids/latitude
/grids/latitude,latSpacing,NA,the number of times a hemisphere should be cut,https://macrostrat.org/api/grids/latitude
/grids/latitude,sf,NA,"Should the results be returned as an `sf` object (defaults to TRUE)?If `FALSE`, a `data.frame` is returned.",https://macrostrat.org/api/grids/latitude
/grids/longitude,latSpacing,NA,the number of degrees between bands of latitude,https://macrostrat.org/api/grids/longitude
/grids/longitude,cellArea,NA,target cell area in km^2,https://macrostrat.org/api/grids/longitude
/grids/longitude,sf,NA,"Should the results be returned as an `sf` object (defaults to TRUE)?If `FALSE`, a `data.frame` is returned.",https://macrostrat.org/api/grids/longitude
/grids/lithologies,latSpacing,NA,the number of degrees between bands of latitude,https://macrostrat.org/api/grids/lithologies
/grids/lithologies,lngSpacing,NA,the number of degrees between bands of longitude,https://macrostrat.org/api/grids/lithologies
/grids/lithologies,originLat,NA,An optional origin latitude,https://macrostrat.org/api/grids/lithologies
/grids/lithologies,originLng,NA,An option origin longitude,https://macrostrat.org/api/grids/lithologies
/grids/lithologies,sf,NA,"Should the results be returned as an `sf` object (defaults to TRUE)?If `FALSE`, a `data.frame` is returned.",https://macrostrat.org/api/grids/lithologies
